Outfall Structure,Outfall Location,Tide Gate #,Waterway Reach,Plant,Open date/time,Close date/time,Gate Open Period
DS-N06,Ardmore Ave (Indian & Ardmore) (W),TG1,NBCR Upper (NSC Confluence),Stickney,5/25/2016 18:44,5/25/2016 19:38,:00:54:12
DS-N19,Dempster St near Lincoln Ave (E),TG1,NBCR Upper (NSC Confluence),Stickney,5/25/2016 18:59,5/25/2016 19:38,:00:39:00
TG-I28 & I29,Taylor St (W),TG1,SB Chicago R,Stickney,5/25/2016 19:08,5/25/2016 19:38,:00:30:28
DS-M109N,Green Bay Rd & McCormick (W),TG1,NSC Upper (NSWRP),Stickney,5/25/2016 19:24,5/25/2016 19:38,:00:14:32
DS-M86,"Grace St (W), North of DS-M86",TG2,NBCR Lower (NSC Confluence),Stickney,5/25/2016 19:02,5/25/2016 19:38,:00:36:28
DS-N04,"Cicero Ave (N), South of Forest Glen",TG2,NBCR Upper (NSC Confluence),Stickney,5/25/2016 18:55,5/25/2016 19:39,:00:43:36
DS-N10A,Wildwood Ave ext. (Caldwell & Tonty) (E),TG1,NBCR Upper (NSC Confluence),Stickney,5/25/2016 18:49,5/25/2016 19:39,:00:49:40
DS-M104W,Main St (W),TG1,NSC Upper (NSWRP),Stickney,5/25/2016 19:01,5/25/2016 19:39,:00:37:44
TG-I32,Polk St (W),TG1,SB Chicago R,Stickney,5/25/2016 19:09,5/25/2016 19:39,:00:29:36
DS-N17,Cleveland St east of Caldwell Ave (W),TG1,NBCR Upper (NSC Confluence),Stickney,5/25/2016 18:58,5/25/2016 19:39,:00:40:48
DS-M49,Roosevelt Rd (Roosevelt & Lumber) (W),TG1,SB Chicago R,Stickney,5/25/2016 19:11,5/25/2016 19:39,:00:28:12
DS-M97,North Shore Ave (E),TG3,NSC Lower (NSWRP),Stickney,5/25/2016 19:10,5/25/2016 19:39,:00:28:32
DS-M45,14th St (E),TG1,SB Chicago R,Stickney,5/25/2016 17:56,5/25/2016 19:39,:01:43:16
DS-M80,"Leavitt St East Bank (N), Southwest of DS-M80",TG1,NBCR Lower (NSC Confluence),Stickney,5/25/2016 18:21,5/25/2016 19:39,:01:18:00
DS-N16,Dobson St and Nordica Ave (W),TG1,NBCR Upper (NSC Confluence),Stickney,5/25/2016 18:56,5/25/2016 19:39,:00:42:48
DS-M106E,Lake St (E),TG1,NSC Upper (NSWRP),Stickney,5/25/2016 19:28,5/25/2016 19:39,:00:10:52
DS-M19,California Ave (S),TG2,CSSC Upper (SWRP),Stickney,5/25/2016 19:30,5/25/2016 19:39,:00:09:20
DS-M03,67th St ext. (E),TG1,CSSC Lower (SWRP),Stickney,5/25/2016 18:02,5/25/2016 19:39,:01:37:32
DS-M08,Natchez Ave ext. (S),TG1,CSSC Lower (SWRP),Stickney,5/25/2016 17:43,5/25/2016 19:39,:01:56:04
