disasterNumber,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,state,declarationDate,disasterType,incidentType,title,incidentBeginDate,incidentEndDate,disasterCloseOutDate,declaredCountyArea,placeCode,hash,lastRefresh
1729,1,1,1,1,IL,2007-09-25T20:40:00 +00:00,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2007-08-20T15:30:00 +00:00,2007-08-31T00:00:00 +00:00,2015-12-07T00:00:00 +00:00,La Salle (County),99099,44e1864a781ebc9fb64b60318ccf055e,2016-08-30T15:08:18 +00:00
1747,1,1,0,1,IL,2008-03-07T15:00:00 +00:00,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2008-01-07T14:45:00 +00:00,2008-03-14T00:00:00 +00:00,2016-08-08T23:59:00 +00:00,Iroquois (County),99075,6280b1b6236b1871b8572be7110aab73,2016-08-30T15:08:18 +00:00
1771,1,1,1,1,IL,2008-06-24T18:00:00 +00:00,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2008-06-01T08:00:00 +00:00,2008-07-22T00:00:00 +00:00,,Clark (County),99023,abfb9f7ed5fd32e06e1e14ffd46f534b,2016-08-30T15:08:18 +00:00
1771,1,1,1,1,IL,2008-06-24T18:00:00 +00:00,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2008-06-01T08:00:00 +00:00,2008-07-22T00:00:00 +00:00,,Edgar (County),99045,c2a7cda71c885bcbffb729fa91275635,2016-08-30T15:08:18 +00:00
1771,1,1,1,1,IL,2008-06-24T18:00:00 +00:00,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2008-06-01T08:00:00 +00:00,2008-07-22T00:00:00 +00:00,,Jersey (County),99083,23b17d0c84d0679b2b9508e14b16e70d,2016-08-30T15:08:18 +00:00
1771,0,0,1,1,IL,2008-06-24T18:00:00 +00:00,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2008-06-01T08:00:00 +00:00,2008-07-22T00:00:00 +00:00,,Monroe (County),99133,f76f8c27464502364a9dea1e7215bc59,2016-08-30T15:08:18 +00:00
1771,0,0,1,1,IL,2008-06-24T18:00:00 +00:00,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2008-06-01T08:00:00 +00:00,2008-07-22T00:00:00 +00:00,,St. Clair (County),99163,017d4d582ff20e40a705ccfeadb87e8c,2016-08-30T15:08:18 +00:00
1800,0,0,1,1,IL,2008-10-03T18:30:00 +00:00,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2008-09-13T08:00:00 +00:00,2008-10-05T00:00:00 +00:00,,Scott (County),99171,4e00699ecf8e6dbf0316edc8a32acc13,2016-08-30T15:08:18 +00:00
1800,1,1,0,1,IL,2008-10-03T18:30:00 +00:00,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2008-09-13T08:00:00 +00:00,2008-10-05T00:00:00 +00:00,,DeKalb (County),99037,104a279d0998ad84b2fba226713fa2d7,2016-08-30T15:08:18 +00:00
1800,0,0,1,1,IL,2008-10-03T18:30:00 +00:00,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2008-09-13T08:00:00 +00:00,2008-10-05T00:00:00 +00:00,,Kendall (County),99093,e0ebcf90e95c085c0593ecf636a448fa,2016-08-30T15:08:18 +00:00
