disasterNumber,incidentType,state,county,city,zipCode,validRegistrations,totalInspected,totalInspectedWithNoDamage,totalWithModerateDamage,totalWithMajorDamage,totalWithSubstantialDamage,approvedForFemaAssistance,totalApprovedIhpAmount,repairReplaceAmount,rentalAmount,otherNeedsAmount,approvedBetween1And10000,approvedBetween10001And25000,approvedBetween25001AndMax,totalMaxGrants,hash,lastRefresh,declarationDate,title,incidentBeginDate,incidentEndDate
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60610.0,12.0,11.0,11.0,0.0,0.0,0.0,4.0,8985.0,0.0,2480.0,6505.0,4.0,0.0,0.0,0.0,6bbc8bf11a9249699630039912f68f94,2014-11-20T15:20:39 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60621.0,1.0,1229.0,1229.0,0.0,0.0,0.0,735.0,2694598.0,0.0,1940986.0,753611.0,660.0,66.0,9.0,3.0,c6b135d93d19436045ae1ded7217cfd3,2014-11-20T15:20:39 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60631.0,4.0,4.0,4.0,0.0,0.0,0.0,2.0,1973.0,0.0,0.0,1973.0,2.0,0.0,0.0,0.0,f42be51cf1556d016f4f2ee0f99ec43e,2014-11-20T15:20:39 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60642.0,22.0,22.0,22.0,0.0,0.0,0.0,6.0,14205.0,0.0,5870.0,8335.0,6.0,0.0,0.0,0.0,28a2ea1e10acae7af19875681f0ae207,2014-11-20T15:20:39 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60655.0,24.0,23.0,23.0,0.0,0.0,0.0,6.0,16172.0,0.0,11176.0,4996.0,5.0,1.0,0.0,0.0,6f2872bf949bdc58a9b1bdda6224a882,2014-11-20T15:20:39 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60639.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,6083.0,0.0,0.0,6083.0,1.0,0.0,0.0,0.0,093ffd1ca60b18d5171401066d9e4151,2014-11-20T15:20:39 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60617.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,225.0,0.0,0.0,225.0,1.0,0.0,0.0,0.0,f7870274dfb6f318a23bfd68794f59f9,2014-11-20T15:20:39 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60411.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fa5bc5caa8dec0c85aceedd79b001037,2014-11-20T15:20:39 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60624.0,1.0,1511.0,1511.0,0.0,0.0,0.0,963.0,4439849.0,0.0,2837517.0,1602333.0,847.0,105.0,11.0,2.0,9278d4fdaaf7bfcd1e958774120e3d25,2014-11-20T15:20:39 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60634.0,66.0,65.0,65.0,0.0,0.0,0.0,40.0,153814.0,0.0,74898.0,78916.0,37.0,3.0,0.0,0.0,543366b73070d25b8b8deff70abf887c,2014-11-20T15:20:39 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60645.0,19.0,17.0,17.0,0.0,0.0,0.0,7.0,35768.0,0.0,26280.0,9488.0,6.0,1.0,0.0,0.0,28e5c6c4d9d0490fc02255ebb7a474a7,2014-11-20T15:20:39 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60614.0,9.0,8.0,8.0,0.0,0.0,0.0,3.0,6841.0,0.0,6422.0,419.0,3.0,0.0,0.0,0.0,31678b9b0cefb42a93f0c8591a517d1a,2014-11-20T15:20:39 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60659.0,9.0,8.0,8.0,0.0,0.0,0.0,3.0,12698.0,0.0,6992.0,5706.0,3.0,0.0,0.0,0.0,d29b11f60d770d8fd79deb041ddeb5a2,2014-11-20T15:20:39 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60613.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c8a1c09c7568bbedd651d846abd53e5c,2014-11-20T15:20:39 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60633.0,49.0,49.0,49.0,0.0,0.0,0.0,26.0,81049.0,0.0,63351.0,17698.0,24.0,1.0,1.0,0.0,3d89897ea2a587a93b8d9a7a48207519,2014-11-20T15:20:39 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60644.0,1.0,1597.0,1597.0,0.0,0.0,0.0,1091.0,4368660.0,1919.0,2609783.0,1756958.0,989.0,94.0,8.0,0.0,7bc21cf56440628b33c31467f8116a57,2014-11-20T15:20:39 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60290.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d108b4ef1b90827860d07451ebe6d5e4,2014-11-20T15:20:39 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60658.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,479.0,0.0,0.0,479.0,1.0,0.0,0.0,0.0,872911800e258946085cd99d000d0500,2014-11-20T15:20:39 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60623.0,1.0,1503.0,1503.0,0.0,0.0,0.0,986.0,4470915.0,1494.0,2532397.0,1937024.0,895.0,85.0,6.0,1.0,311135660f0366484cdf4107ccfc8eed,2014-11-20T15:20:39 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60621.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1232.0,0.0,0.0,1232.0,1.0,0.0,0.0,0.0,20f61b5c06c9b533d247ea910cff5482,2014-11-20T15:20:39 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60601.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57d4f2a5a530a099c08184498ca5e93c,2014-11-20T15:20:39 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60616.0,47.0,40.0,40.0,0.0,0.0,0.0,15.0,21879.0,0.0,15122.0,6757.0,15.0,0.0,0.0,0.0,09b694fd41c31a4d32ce4bb526f86f19,2014-11-20T15:20:39 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60637.0,826.0,805.0,805.0,0.0,0.0,0.0,483.0,2119457.0,5310.0,1529704.0,584443.0,417.0,61.0,5.0,2.0,84f9bf8d89249bc3d58f4eb26db668f1,2014-11-20T15:20:39 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60663.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4141a196b8fdece656a1aef52ea2f65d,2014-11-20T15:20:39 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60644.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a2e14664c1cac8d27326d1d937a31621,2014-11-20T15:20:39 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60647.0,172.0,164.0,164.0,0.0,0.0,0.0,104.0,347768.0,0.0,155749.0,192019.0,100.0,3.0,1.0,1.0,b7d8be3244b2f4bdc901d90cf76c5b7d,2014-11-20T15:20:39 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60626.0,19.0,18.0,18.0,0.0,0.0,0.0,10.0,46689.0,0.0,35248.0,11441.0,8.0,2.0,0.0,0.0,b68b659d84ab1611f8a0dabdde369973,2014-11-20T15:20:39 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60619.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,572077e5ba971a539c5049db52e3bb56,2014-11-20T15:20:39 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
