disasterNumber,incidentType,state,county,city,zipCode,validRegistrations,averageFemaInspectedDamage,totalInspected,totalDamage,noFemaInspectedDamage,femaInspectedDamageBetween1And10000,femaInspectedDamageBetween10001And20000,femaInspectedDamageBetween20001And30000,femaInspectedDamageGreaterThan30000,approvedForFemaAssistance,totalApprovedIhpAmount,repairReplaceAmount,rentalAmount,otherNeedsAmount,approvedBetween1And10000,approvedBetween10001And25000,approvedBetween25001AndMax,totalMaxGrants,hash,lastRefresh,declarationDate,title,incidentBeginDate,incidentEndDate
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60630.0,1.0,1384.0,1.0,1384.0,0.0,1.0,0.0,0.0,0.0,1.0,1384.0,1384.0,0.0,0.0,1.0,0.0,0.0,0.0,9743301c6a2727a75de5b1f6ca17ae24,2014-12-12T01:20:24 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60638.0,1.0,412.0,1.0,412.0,0.0,1.0,0.0,0.0,0.0,1.0,412.0,412.0,0.0,0.0,1.0,0.0,0.0,0.0,03b8b561fe057fce46237d00ad35ca9d,2014-12-12T01:20:24 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60643.0,2.0,3106.0,2.0,6213.0,0.0,2.0,0.0,0.0,0.0,2.0,3347.0,3347.0,0.0,0.0,2.0,0.0,0.0,0.0,1b53009b48572766506ff61c6c0ab758,2014-12-12T01:20:24 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60604.0,2.0,2380.0,2.0,4761.0,0.0,2.0,0.0,0.0,0.0,2.0,4079.0,4079.0,0.0,0.0,2.0,0.0,0.0,0.0,18200ffd9c3121fc029333bd79a995be,2014-12-12T01:20:24 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60614.0,15.0,2557.0,15.0,38350.0,4.0,10.0,1.0,0.0,0.0,9.0,30090.0,28461.0,0.0,1629.0,8.0,1.0,0.0,0.0,7cb11f138cbe612e54fb86f453599ca9,2014-12-12T01:20:24 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60624.0,1.0,2692.0,1110.0,2988109.0,98.0,976.0,34.0,2.0,0.0,926.0,3125492.0,2479867.0,360818.0,284807.0,874.0,48.0,4.0,1.0,7e7214a17679763a02780f786f0ab598,2014-12-12T01:20:24 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60646.0,48.0,1872.0,48.0,89841.0,2.0,46.0,0.0,0.0,0.0,43.0,99131.0,83793.0,14220.0,1118.0,43.0,0.0,0.0,0.0,044586cdf9707721d797fedaffadacf1,2014-12-12T01:20:24 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60636.0,2.0,2315.0,2533.0,5862857.0,173.0,2.0,31.0,1.0,0.0,2222.0,6607883.0,4986781.0,1071624.0,546783.0,2.0,55.0,9.0,2.0,121db65472bf25356c9232f320f64de8,2014-12-12T01:20:24 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60659.0,20.0,3056.0,20.0,61116.0,5.0,14.0,1.0,0.0,0.0,15.0,54016.0,51068.0,2030.0,918.0,14.0,1.0,0.0,0.0,3df9aefbf7595f41fc2941a474f8b95e,2014-12-12T01:20:24 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60827.0,60.0,3046.0,59.0,179694.0,4.0,53.0,2.0,0.0,0.0,46.0,215759.0,148346.0,55498.0,11914.0,42.0,3.0,1.0,0.0,ddec9be9038c0bbb900b3eedd6abe084,2014-12-12T01:20:24 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
