disasterNumber,incidentType,state,county,city,zipCode,totalValidRegistrations,validCallCenterRegistrations,validWebRegistrations,validMobileRegistrations,ihpReferrals,ihpEligible,ihpAmount,haReferrals,haEligible,haAmount,onaReferrals,onaEligible,onaAmount,hash,lastRefresh,declarationDate,title,incidentBeginDate,incidentEndDate
4116.0,Flood,IL,Cook (County),Chicago,60631.0,508.0,133.0,346.0,29.0,489.0,370.0,647586.47,472.0,351.0,597697.27,363.0,73.0,49889.2,ec40dad35d4d743a572c69895a34dd4e,2014-11-23T02:38:04 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
4116.0,Flood,IL,Cook (County),Chicago,60642.0,18.0,10.0,6.0,2.0,16.0,6.0,13849.14,14.0,3.0,10030.5,14.0,5.0,3818.64,81885d86940e5100eddb7d2438afa549,2014-11-23T02:38:04 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
4116.0,Flood,IL,Cook (County),Chicago,60654.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36dab0a2ec246b72e12569a24c12f7e4,2014-11-23T02:38:04 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
4116.0,Flood,IL,Cook (County),Chicago,60803.0,1.0,0.0,1.0,0.0,1.0,1.0,521.27,1.0,1.0,521.27,1.0,0.0,0.0,e1132186604e928fa3a035ad001f4599,2014-11-23T02:38:04 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
4116.0,Flood,IL,Cook (County),Chicago,60608.0,98.0,38.0,50.0,10.0,93.0,53.0,153727.7,84.0,43.0,103876.12,77.0,25.0,49851.58,7d10fb1f82019cff7b23b962f2747e4a,2014-11-23T02:38:04 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
4116.0,Flood,IL,Cook (County),Chicago,60630.0,476.0,168.0,294.0,14.0,451.0,349.0,665699.57,439.0,340.0,622732.32,314.0,57.0,42967.25,2659a9307f31b41be5efe02ca6605cd0,2014-11-23T02:38:04 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
4116.0,Flood,IL,Cook (County),Chicago,60619.0,4130.0,2.0,1.0,175.0,3965.0,2745.0,6591773.07,3838.0,2387.0,5512737.12,3048.0,1134.0,1079035.95,7ed7895e229805fc77ab6e0a811a4e5e,2015-03-02T19:03:16 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
4116.0,Flood,IL,Cook (County),Chicago,60641.0,126.0,55.0,66.0,5.0,118.0,82.0,214283.12,112.0,73.0,172499.35,81.0,30.0,41783.77,78e7ed53fdb68547b1424e5d31f80b89,2015-03-02T19:03:16 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
4116.0,Flood,IL,Cook (County),Chicago,60653.0,405.0,247.0,134.0,24.0,388.0,220.0,563493.7,367.0,151.0,418616.55,312.0,116.0,144877.15,d3ea8024c2853127ec4be9b999f69d44,2015-03-02T19:03:16 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
4116.0,Flood,IL,Cook (County),Chicago,60707.0,170.0,81.0,83.0,6.0,164.0,134.0,252515.81,161.0,124.0,221625.58,114.0,26.0,30890.23,9c99a569d1eaabee7d7b83a624d695c0,2014-11-23T02:38:04 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
