Created Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
2000-03-03,2,0,1,0,0,0,3,0,1,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,1,0,0,0,1,1,0,0,2,1,0,3,1,0,0,1,1,0,0,0,0,0
2000-03-04,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2000-03-05,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-03-06,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2000-03-07,2,0,0,0,1,1,1,2,1,4,0,1,0,0,0,1,0,1,0,3,2,1,0,1,0,1,0,3,1,0,0,0,0,1,0,1,3,0,1,0,0,1,2,2,0,0,0,0,0,0
2000-03-08,1,0,0,0,0,1,0,1,1,0,2,2,0,0,2,2,0,0,0,0,2,0,0,0,1,1,1,1,3,0,0,1,0,2,3,6,0,2,0,1,1,0,0,0,2,0,0,1,1,3
2000-03-09,0,0,0,2,0,1,0,2,2,0,0,0,1,0,0,1,0,0,0,4,0,2,1,0,0,1,2,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2000-03-10,1,1,0,0,2,0,0,0,1,1,1,0,0,2,0,0,1,0,0,1,1,2,0,0,0,1,1,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0
2000-03-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-03-12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
